発売日,出版社,シリーズ名・書名,著者,予価,
27,KADOKAWA,電撃コミックスNEXT比羅坂日菜子がエロかわいいことを俺だけが知っている。（７）,紺矢ユキオ,未定,
27,KADOKAWA,電撃コミックスNEXT罠ガール（８）,緑山のぶひろ,未定,
28,KADOKAWA,アライブ＋電網呪相ノロイさん（１）,ＢＬＺ,未定,
28,KADOKAWA,書籍扱いコミックスはらへりエイリアンとひよっこごはん,子新唯一／ぼく,未定,
28,KADOKAWA,単行本コミックス入味（ルーウェイ）～この娘と食卓を囲む日から～（１）,ＺＣｌｏｕｄ／伊実ほか,未定,
28,KADOKAWA,単行本コミックス南号と尚風（１）,布朗尼／串山大,未定,
6,講談社,アフタヌーンKCツレ猫　マルルとハチ（３）,園田ゆり,748,
6,講談社,アフタヌーンKCとりま、風呂いかね？（３）,イシイ渡,825,
6,講談社,アフタヌーンKCアオバノバスケ（２）,学慶人,748,
6,講談社,アフタヌーンKCぐらんぶる（20）,井上堅二／吉岡公威,748,
6,講談社,アフタヌーンKC異世界車中泊物語　アウトランナーPHEV（２）,灯まりも／芳賀概夢,748,
6,講談社,アフタヌーンKC’89―長野∞連合―（１）,ジュリー・Ｗ・神谷,748,
6,講談社,ヤンマガKCスペシャルケンシロウによろしく（７）,ジャスミン・ギュ,726,
6,講談社,ヤンマガKCスペシャル彼岸島　48日後…（38）,松本光司,726,
6,講談社,ヤンマガKCスペシャルマイホームヒーロー（20）,山川直輝／朝基まさし,726,
6,講談社,ヤンマガKCスペシャルパリピ孔明（13）,四葉夕卜／小川亮,726,
6,講談社,ヤンマガKCスペシャルチリアクタ（４）,木村航,803,
6,講談社,ヤンマガKCスペシャルスケアリー・キャンパス・カレッジ・ユニバーシティ（３）,永椎晃平,726,
6,講談社,ヤンマガKCスペシャルナックルナックル（３）,山岸汰誠,726,
6,講談社,ヤンマガKCスペシャル徘徊者（２）,鈴木ユウヘイ／宝依図,726,
6,講談社,ヤンマガKCスペシャルザ・ヒステリックトリガー（２）,加納万太郎／マナカミユイ,726,
6,講談社,ヤンマガKCスペシャル私のアリカ（１）,藤沢もやし／隈屑,726,
7,講談社,KCデラックス冰剣の魔術師が世界を統べる　世界最強の魔術師である少年は、魔術学院に入学する（12）,佐々木宣人／御子柴奈々ほか,715,
7,講談社,KCデラックス七聖剣と魔剣の姫（６）,エターナル１４歳／御子柴奈々ほか,726,
7,講談社,KCデラックスダメスキル【自動機能】が覚醒しました～あれ、ギルドのスカウトの皆さん、俺を「いらない」って言ってませんでした？～（６）,ＬＡ軍／中島零ほか,715,
