出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,26,角川コミックス・エース,オールラウンダーズ！！　転生したら幼女でした。家に居づらいのでおっさんと冒険に出ます（１）,ひらのせい／サエトミユウほか,未定,
KADOKAWA,26,角川コミックス・エース,一億年ボタンを連打した俺は、気付いたら最強になっていた　～落第剣士の学院無双～（４）,月島秀一／士土幽太郎ほか,未定,
KADOKAWA,26,角川コミックス・エース,すごい年の差夫婦の話,あかまる,未定,
KADOKAWA,26,角川コミックス・エース,見知らぬ女子高生に監禁された漫画家の話（２）,きただりょうま,未定,
KADOKAWA,26,角川コミックス・エース,機動戦士ガンダム　ピューリッツァー　―アムロ・レイは極光の彼方へ―（１）,才谷ウメタロウ／未定ほか,未定,
KADOKAWA,26,単行本コミックス,女心＠男子高校生,竹屋まり子,858,
KADOKAWA,26,単行本コミックス,Fate/stay night［Unlimited Blade Works］（１）,ＴＹＰＥ－ＭＯＯＮ／森山大輔,未定,
KADOKAWA,26,電撃コミックスEX,仏ガール（１）,柚ちえこ,未定,
KADOKAWA,26,電撃コミックスNEXT,ちびっこ賢者、Lv.1から異世界でがんばります！（５）,みさき樹里／彩戸ゆめほか,未定,
KADOKAWA,26,電撃コミックスNEXT,異世界帰りのおっさんは父性スキルでファザコン娘達をトロトロに（５）,高橋弘／蘿蔔なずなほか,未定,
KADOKAWA,26,電撃コミックスNEXT,最強不敗の神剣使い（１）,不動らん／羽田遼亮ほか,未定,
KADOKAWA,26,電撃コミックスNEXT,ソードアート・オンライン　プログレッシブ　黄金律のカノン（２）,川原礫／霧月ほか,未定,
KADOKAWA,26,電撃コミックスNEXT,転生王女と天才令嬢の魔法革命（４）,南高春告／鴉ぴえろほか,未定,
KADOKAWA,26,電撃コミックスNEXT,リアリスト魔王による聖域なき異世界改革（６）,鈴木マナツ／羽田遼亮ほか,未定,
KADOKAWA,26,電撃コミックスNEXT,つぐみ先輩の好きはちょっと変（２）,きあま紀一,未定,
KADOKAWA,26,電撃コミックスNEXT,兄と妹のしたいしたいしたいコト（１）,葉乃はるか,未定,
KADOKAWA,26,電撃コミックスNEXT,僕が答える君の謎解き（２）,飛口芽衣／紙城境介ほか,未定,
KADOKAWA,26,電撃コミックスNEXT,縁の下のチカラモチャー（１）　～魔王討伐したら若返ったので、学園で陰からサポートします～,ｔａｍａｇｏ／ポルカほか,未定,
KADOKAWA,26,電撃コミックスNEXT,画皮ちゃん！（２）,ちろたた,未定,
KADOKAWA,26,電撃コミックスNEXT,神の庭付き楠木邸（１）,安斎アキラ／えんじゅほか,未定,
KADOKAWA,26,電撃コミックスNEXT,鍛冶屋ではじめる異世界スローライフ（３）,日森よしの／たままるほか,未定,
KADOKAWA,26,電撃コミックスNEXT,ぜんぶきみの性（５）,浅月のりと,未定,
KADOKAWA,26,電撃コミックスNEXT,わたしはサキュバスとキスをした（３）,白玉もち,未定,
講談社,1,プレミアムKC,月曜日のたわわ（５）青版,比村奇石,1000,
講談社,1,ヤンマガKCスペシャル,月曜日のたわわ（５）,比村奇石,726,
講談社,5,アフタヌーンKC,ウチの使い魔がすみません（11）,櫓刃鉄火,748,
講談社,5,アフタヌーンKC,ぐらんぶる（19）,井上堅二／吉岡公威,748,
講談社,5,アフタヌーンKC,てんぷる（７）,吉岡公威,748,
講談社,5,アフタヌーンKC,とりま、風呂いかね？（２）,イシイ渡,748,
講談社,5,ヤンマガKCスペシャル,女子校のこひー先生（１）,新井春巻,726,
講談社,5,ヤンマガKCスペシャル,サタノファニ（22）,山田恵庸,726,
講談社,5,ヤンマガKCスペシャル,何度、時をくりかえしても本能寺が燃えるんじゃが！？（７）,藤本ケンシ／井出圭亮,726,
講談社,5,ヤンマガKCスペシャル,令和雄王　相田宗二（１）,小川ショウマ,726,
講談社,5,ヤンマガKCスペシャル,君が獣になる前に（４）,さの隆,726,
講談社,5,ヤンマガKCスペシャル,ゾミア（２）,浅村壮平／石田点,726,
講談社,5,ヤンマガKCスペシャル,アルキメデスの大戦（29）,三田紀房,803,
講談社,5,ヤンマガKCスペシャル,DEMONS STAR（３）,阿部秀司／ミクニシン,726,
講談社,5,ヤンマガKCスペシャル,ギャルせん（３）,植野メグル,726,
講談社,5,ヤンマガKCスペシャル,犬と屑（５）,朝賀庵,726,
講談社,5,ヤンマガKCスペシャル,アンダーニンジャ（８）,花沢健吾,726,
講談社,5,ヤンマガKCスペシャル,ザ・ファブル　The second contact（４）,南勝久,726,
講談社,8,KCデラックス,フルカラー版　人形の国（４）,弐瓶勉,1320,
講談社,8,KCデラックス,フルカラー版　人形の国（５）,弐瓶勉,1320,
講談社,8,シリウスKC,落ちこぼれだった兄が実は最強　～史上最強の勇者は転生し、学園で無自覚に無双する～（３）,村上よしゆき／茨木野ほか,715,
