出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,22,単行本コミックス,ベルと紫太郎（３）,伊田チヨ子,未定,
KADOKAWA,25,電撃コミックスNEXT,あやかし浮世絵導師（１）,ちさかあや／大志充ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,女鍛冶師はお人好しギルドに拾われました～新天地でがんばる鍛冶師生活～（１）,日之影ソラ／みつなり都ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,比羅坂日菜子がエロかわいいことを俺だけが知っている。（６）,紺矢ユキオ,未定,
KADOKAWA,25,電撃コミックスNEXT,叡智なビデオは好きですか？（１）,後藤羽矢子／未定,未定,
KADOKAWA,25,電撃コミックスNEXT,テイレシアスの檻（１）,竹葉久美子,未定,
KADOKAWA,25,電撃コミックスNEXT,表情が一切わからない白銀さん（４）,Ｂｙｔｅ,未定,
KADOKAWA,25,電撃コミックスNEXT,神さまがまちガえる（２）,仲谷鳰,未定,
KADOKAWA,25,電撃コミックスNEXT,魔王討伐したあと、目立ちたくないのでギルドマスターになった（６）,朱月十話／ＲＯＨＧＵＮほか,未定,
KADOKAWA,25,電撃コミックスNEXT,リアデイルの大地にて（５）,月見だしお／Ｃｅｅｚほか,未定,
KADOKAWA,25,電撃コミックスNEXT,役立たずスキルに人生を注ぎ込み25年、今さら最強の冒険譚（６）,ガンテツ／しゅうきちほか,未定,
KADOKAWA,25,電撃コミックスNEXT,佐久間巡査と花岡巡査は付き合いはじめた（１）,ぷらぱ,未定,
KADOKAWA,25,電撃コミックスNEXT,未実装のラスボス達が仲間になりました。（２）,緋呂河とも／ながワサビ６４ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,恋は双子で割り切れない（１）,高村資本／ＯＫＡＲＩほか,未定,
KADOKAWA,25,電撃コミックスNEXT,嘆きの亡霊は引退したい　～最弱ハンターによる最強パーティ育成術～（７）,蛇野らい／槻影ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,忍者と殺し屋のふたりぐらし（２）,ハンバーガー,未定,
KADOKAWA,25,電撃コミックスNEXT,ゆゆのゆ！（１）,ヒナユキウサ,未定,
KADOKAWA,26,MFC キューンシリーズ,姫ヶ崎櫻子は今日も不憫可愛い（３）,安田剛助,未定,
KADOKAWA,26,MFC キューンシリーズ,さんしょく弁当（１）,兎月あい,未定,
KADOKAWA,26,MFC キューンシリーズ,世界で一番おっぱいが好き！（７）,昆布わかめ,未定,
KADOKAWA,26,MFCジーンピクシブシリーズ,みなと商事コインランドリー　アンソロジー　ふわふわ,缶爪さわ／椿ゆず,未定,
KADOKAWA,26,MFCジーンピクシブシリーズ,人生2周目はヤンデレ彼氏を甘やかしてハッピーエンドになります！！（２）,杜若わか／ｐｉｘｉｖ,未定,
KADOKAWA,26,MFCジーンピクシブシリーズ,ぼくもいっしょ！（１）,らくだ,未定,
KADOKAWA,26,MFコミックス　ジーンシリーズ,永久少年　Eternal Boys（１）,ちゃんさな／満福芸能プロダクション,693,
KADOKAWA,26,MFコミックス　ジーンシリーズ,後宮の検屍女官（１）,おの秋人／小野はるかほか,693,
KADOKAWA,26,MFコミックス　ジーンシリーズ,かわいいせかいせいふく（１）,亜樹新,693,
KADOKAWA,26,角川コミックス・エース,妖怪大戦争　ガーディアンズ（３）,鈴木小波／渡辺雄介,未定,
KADOKAWA,26,角川コミックス・エース,幼女戦記（26）,東條チカ／カルロ・ゼンほか,未定,
KADOKAWA,26,角川コミックス・エース,陰の実力者になりたくて！（10）,坂野杏梨／逢沢大介ほか,未定,
KADOKAWA,26,角川コミックス・エース,オタクにオトクなギャルぐらし（２）,火野遥人,未定,
KADOKAWA,26,角川コミックス・エース,夢見る男子は現実主義者（３）,おけまる／吉北ぽぷりほか,未定,
KADOKAWA,26,角川コミックス・エース,アラサーOLハマーン様（３）,いわさきまさかず／矢立肇ほか,未定,
KADOKAWA,26,角川コミックス・エース,ラル飯　―ランバ・ラルの背徳ごはん―（３）,谷和也／鈴木小波ほか,未定,
KADOKAWA,26,角川コミックス・エース,わたしのお腹の責任取って！（２）,肉丸／ジョーさん。,未定,
KADOKAWA,26,角川コミックス・エース,捨てられ白魔法使いの紅茶生活（３）,騎羽こうじ／瀬尾優梨ほか,未定,
KADOKAWA,26,角川コミックス・エース,転生ごときで逃げられるとでも、兄さん？（４）,ユリシロ／紙城境介ほか,未定,
KADOKAWA,26,角川コミックス・エース,クレイジー・キッチン（２）,ヤミザワ／荻原数馬ほか,未定,
KADOKAWA,26,角川コミックス・エース,異世界食堂　洋食のねこや（３）,犬塚惇平／ヤミザワほか,未定,
KADOKAWA,26,角川コミックス・エース,機動戦士ガンダム　N-EXTREME（１）,水口鷹志／バンダイナムコエンターテインメントほか,未定,
KADOKAWA,26,角川コミックス・エース,機動戦士ガンダムNT（９）,福井晴敏／大森倖三ほか,未定,
KADOKAWA,26,角川コミックス・エース,隣のクーデレラを甘やかしたら、ウチの合鍵を渡すことになった（２）,雪仁／かがちさくほか,未定,
KADOKAWA,26,単行本コミックス,キス、してもいいですか？　泡沫　創作男女短編集（上）,泡沫,未定,
KADOKAWA,26,単行本コミックス,よんこま十三機兵防衛圏！！　～こちらセクターX～（２）,柊タイガー／アトラス,未定,
KADOKAWA,26,単行本コミックス,結末の国のアトー（１）,土藤山夜,未定,
KADOKAWA,26,単行本コミックス,異刻メモワール　巻ノ二,るん太,未定,
KADOKAWA,26,電撃コミックスNEXT,アイドルマスター　ミリオンライブ！　Blooming Clover（12）,バンダイナムコエンターテインメント／稲山覚也,未定,
KADOKAWA,26,電撃コミックスNEXT,GT-giRl（４）,長谷見沙貴／ワイズスピーク,未定,
KADOKAWA,26,電撃コミックスNEXT,GT-giRl（５）,長谷見沙貴／ワイズスピーク,未定,
KADOKAWA,26,電撃コミックスNEXT,おっさん、転生して天才役者になる（１）,芽々ノ圭／ほえ太郎,未定,
KADOKAWA,26,電撃コミックスNEXT,リビルドワールド（８）,綾村切人／ナフセほか,未定,
KADOKAWA,26,電撃コミックスNEXT,ポーカーフェイス女装男子と。（１）,くらの,未定,
KADOKAWA,26,電撃コミックスNEXT,悪いが私は百合じゃない（４）,もちオーレ,未定,
KADOKAWA,30,単行本コミックス,僕らには僕らの言葉がある,詠里,未定,
KADOKAWA,30,単行本コミックス,ラブライブ！虹ヶ咲学園スクールアイドル同好会　キズナComicBook（３）,矢立肇／公野櫻子ほか,未定,
講談社,4,ヤンマガKCスペシャル,ザ・ファブル　The second contact（５）,南勝久,726,
講談社,4,ヤンマガKCスペシャル,ゾミア（３）,浅村壮平／石田点,726,
講談社,4,ヤンマガKCスペシャル,アルキメデスの大戦（30）,三田紀房,726,
講談社,4,ヤンマガKCスペシャル,何度、時をくりかえしても本能寺が燃えるんじゃが！？（８）,藤本ケンシ／井出圭亮,726,
講談社,4,ヤンマガKCスペシャル,令和雄王　相田宗二（２）,小川ショウマ,726,
講談社,4,ヤンマガKCスペシャル,彼岸島　48日後…（36）,松本光司,726,
講談社,4,ヤンマガKCスペシャル,セブン☆スターJT（７）,柳内大樹,726,
講談社,4,ヤンマガKCスペシャル,サタノファニ（23）,山田恵庸,726,
講談社,4,ヤンマガKCスペシャル,GTO パラダイス・ロスト（20）,藤沢とおる,726,
講談社,4,ヤンマガKCスペシャル,パラレルパラダイス（19）,岡本倫,726,
講談社,4,ヤンマガKCスペシャル,ギャルせん（４）,植野メグル,726,
講談社,4,ヤンマガKCスペシャル,賭博堕天録カイジ　24億脱出編（20）,福本伸行,726,
講談社,4,ヤンマガKCスペシャル,ケンシロウによろしく（７）,ジャスミン・ギュ,726,
講談社,4,ヤンマガKCスペシャル,ツワモノガタリ（４）,細川忠孝／山村竜也,726,
講談社,4,ヤンマガKCスペシャル,女子校のこひー先生（２）,新井春巻,726,
講談社,4,ヤンマガKCスペシャル,技巧貸与〈スキル・レンダー〉のとりかえし　トイチって最初に言ったよな？（３）,黄波戸井ショウリ／小山ナオトほか,726,
講談社,4,ヤンマガKCスペシャル,スケアリー・キャンパス・カレッジ・ユニバーシティ（１）,永椎晃平,726,
講談社,4,ヤンマガKCスペシャル,ナックルナックル（１）,山岸汰誠,726,
講談社,4,講談社コミックス月刊マガジン,ボールルームへようこそ（12）,竹内友,528,
講談社,7,アフタヌーンKC,スイカ（２）,森とんかつ,748,
講談社,7,アフタヌーンKC,おとなりに銀河（５）,雨隠ギド,748,
講談社,9,KCデラックス,不遇職【鑑定士】が実は最強だった　～奈落で鍛えた最強の【神眼】で無双する～（７）,藤モロホシ／茨木野ほか,715,
講談社,9,KCデラックス,転生したら第七王子だったので、気ままに魔術を極めます　セミカラー版（１）,石沢庸介／謙虚なサークルほか,1089,
