出版社,発売日,シリーズ名・書名,著者,予価,
講談社,4,ヤンマガKCスペシャル,ザ・ファブル The second contact（8）,南勝久,759,
講談社,4,ヤンマガKCスペシャル,ギャルせん（7）,植野メグル,759,
講談社,4,ヤンマガKCスペシャル,アルキメデスの大戦（34）,三田紀房,759,
講談社,4,ヤンマガKCスペシャル,技巧貸与〈スキル・レンダー〉のとりかえし トイチって最初に言ったよな？（5）,黄波戸井ショウリ／小山ナオトほか,759,
講談社,4,ヤンマガKCスペシャル,白地図のライゼンデ（3）,パミラ,836,
講談社,7,アフタヌーンKC,くりことびより（1）,雪本愁二,759,
講談社,7,アフタヌーンKC,天駆け（2）,空倉シキジ,759,
講談社,7,アフタヌーンKC,アオバノバスケ（3）,学慶人,759,
講談社,7,ヤンマガKCスペシャル,月曜日のたわわ（8）,比村奇石,759,
講談社,8,KCデラックス,エルディアス・ロード 女神にもらった絶対死なない究極スキルで七つのダンジョンを攻略する（5）,澄守彩／髙田タカミほか,759,
講談社,8,KCデラックス,ほねぬきごはん ～ウブで奥手な半キュバスにハートをください～（3）,御影夏,759,
講談社,8,KCデラックス,ゴクイッテン（1）,つくは／COVE,759,
講談社,8,KCデラックス,味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す（8）,門司雪／アルトほか,759,
講談社,8,KCデラックス,姫騎士は蛮族の嫁（6）,コトバノリアキ,759,
講談社,8,KCデラックス,追放する側の物語 仲間を追放したらパーティーが弱体化したけど、世界一を目指します。（4）,鷲見九／モンチ02ほか,759,
